state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,Peddapuram,Thota Saraswathi Ane Vani,Yuvajana Sramika Rythu Congress Party,63366,162928,0.3889,2,0
Andhra Pradesh,Peddapuram,Tummala Ramaswamy (Babu),Janasena Party,25816,162928,0.1585,3,0
Andhra Pradesh,Peddapuram,NOTA,None of the Above,2072,162928,0.0127,4,0
Andhra Pradesh,Peddapuram,Dora Babu Tummala,Indian National Congress,1668,162928,0.0102,5,0
Andhra Pradesh,Peddapuram,Yarlagadda Ramkumar,Bharatiya Janata Party,849,162928,0.0052,6,0
Andhra Pradesh,Peddapuram,Gorakapudi Chinnayya Dora,Jai Bharat National Party,554,162928,0.0034,7,0
Andhra Pradesh,Peddapuram,K. Ramanamma,Jana Jagruti Party,352,162928,0.0022,8,0
Andhra Pradesh,Peddapuram,Divili Satish,Mundadugu Praja Party,350,162928,0.0021,9,0
Andhra Pradesh,Peddapuram,Joka Vijay Kumar,Independent,270,162928,0.0017,10,0
Andhra Pradesh,Peddapuram,Ammanna Vetukuri,Pyramid Party of India,238,162928,0.0015,11,0
Andhra Pradesh,Anaparthy,DOCTOR. SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,111771,186710,0.5986,1,1
Andhra Pradesh,Anaparthy,NALLAMILLI RAMAKRISHNA REDDY,Telugu Desam,56564,186710,0.303,2,0
Andhra Pradesh,Anaparthy,RELANGI NAGESWARA RAO,Janasena Party,12842,186710,0.0688,3,0
Andhra Pradesh,Anaparthy,NOTA,None of the Above,2114,186710,0.0113,4,0
Andhra Pradesh,Anaparthy,DR II Y.A.VADAYAR,Indian National Congress,1128,186710,0.006,5,0
Andhra Pradesh,Anaparthy,MEDAPATI HARINARAYANAREDDY,Bharatiya Janata Party,627,186710,0.0034,6,0
Andhra Pradesh,Anaparthy,AMARAVATHI PUTHINEEDI,Jana Jagruti Party,610,186710,0.0033,7,0
Andhra Pradesh,Anaparthy,NARAYANAMMA BATHINA,Pyramid Party of India,271,186710,0.0015,8,0
Andhra Pradesh,Anaparthy,SATHI DEVADANA REDDY,Independent,252,186710,0.0013,9,0
Andhra Pradesh,Anaparthy,CHELLE SRINU,Independent,196,186710,0.001,10,0
